Tue 28 Mar 2023 01:54:42 AM CST signal:-38 bssid:e8:13:6e:f6:82:d0 freq:5180 PING 10.12.7.254 (10.12.7.254) 56(84) bytes of data.
Tue 28 Mar 2023 01:54:42 AM CST signal:-38 bssid:e8:13:6e:f6:82:d0 freq:5180 64 bytes from 10.12.7.254: icmp_seq=1 ttl=255 time=4.18 ms
Tue 28 Mar 2023 01:54:43 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5180 64 bytes from 10.12.7.254: icmp_seq=2 ttl=255 time=4.05 ms
Tue 28 Mar 2023 01:54:44 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5180 64 bytes from 10.12.7.254: icmp_seq=3 ttl=255 time=3.30 ms
Tue 28 Mar 2023 01:54:45 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5180 64 bytes from 10.12.7.254: icmp_seq=4 ttl=255 time=3.18 ms
Tue 28 Mar 2023 01:54:46 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5180 64 bytes from 10.12.7.254: icmp_seq=5 ttl=255 time=3.75 ms
Tue 28 Mar 2023 01:54:47 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5180 64 bytes from 10.12.7.254: icmp_seq=6 ttl=255 time=5.21 ms
Tue 28 Mar 2023 01:54:48 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5180 64 bytes from 10.12.7.254: icmp_seq=7 ttl=255 time=3.95 ms
Tue 28 Mar 2023 01:54:49 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5180 64 bytes from 10.12.7.254: icmp_seq=8 ttl=255 time=5.99 ms
Tue 28 Mar 2023 01:54:50 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5180 64 bytes from 10.12.7.254: icmp_seq=9 ttl=255 time=4.63 ms
Tue 28 Mar 2023 01:54:51 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5180 64 bytes from 10.12.7.254: icmp_seq=10 ttl=255 time=7.54 ms
Tue 28 Mar 2023 01:54:52 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5180 64 bytes from 10.12.7.254: icmp_seq=11 ttl=255 time=2.07 ms
Tue 28 Mar 2023 01:54:53 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5180 64 bytes from 10.12.7.254: icmp_seq=12 ttl=255 time=3.58 ms
