Tue 28 Mar 2023 01:55:04 AM CST signal:-61 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=34 ttl=255 time=13.1 ms
Tue 28 Mar 2023 01:55:05 AM CST signal:-61 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=35 ttl=255 time=9.86 ms
Tue 28 Mar 2023 01:55:06 AM CST signal:-61 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=36 ttl=255 time=6.92 ms
Tue 28 Mar 2023 01:55:07 AM CST signal:-61 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=37 ttl=255 time=70.9 ms
Tue 28 Mar 2023 01:55:08 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=38 ttl=255 time=9.77 ms
Tue 28 Mar 2023 01:55:09 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=39 ttl=255 time=10.0 ms
Tue 28 Mar 2023 01:55:10 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=40 ttl=255 time=10.7 ms
Tue 28 Mar 2023 01:55:11 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=41 ttl=255 time=7.61 ms
Tue 28 Mar 2023 01:55:12 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=42 ttl=255 time=10.7 ms
Tue 28 Mar 2023 01:55:13 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=43 ttl=255 time=19.7 ms
Tue 28 Mar 2023 01:55:14 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=44 ttl=255 time=9.27 ms
Tue 28 Mar 2023 01:55:15 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=45 ttl=255 time=8.45 ms
