Tue 28 Mar 2023 01:55:19 AM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=48 ttl=255 time=7.12 ms
Tue 28 Mar 2023 01:55:20 AM CST signal:-72 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=49 ttl=255 time=4.13 ms
Tue 28 Mar 2023 01:55:21 AM CST signal:-72 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=50 ttl=255 time=4.91 ms
Sat 13 Jul 2024 02:31:14 PM CST signal:-72 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=51 ttl=255 time=28.2 ms
Sat 13 Jul 2024 02:31:15 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=52 ttl=255 time=4.23 ms
Sat 13 Jul 2024 02:31:16 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=53 ttl=255 time=5.25 ms
Sat 13 Jul 2024 02:31:17 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=54 ttl=255 time=4.05 ms
Sat 13 Jul 2024 02:31:18 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=55 ttl=255 time=5.07 ms
Sat 13 Jul 2024 02:31:19 PM CST signal:-72 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=56 ttl=255 time=14.0 ms
Sat 13 Jul 2024 02:31:20 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=57 ttl=255 time=16.4 ms
Sat 13 Jul 2024 02:31:21 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=58 ttl=255 time=3.97 ms
Sat 13 Jul 2024 02:31:22 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=59 ttl=255 time=16.4 ms
Sat 13 Jul 2024 02:31:23 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=60 ttl=255 time=6.89 ms
Sat 13 Jul 2024 02:31:24 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=61 ttl=255 time=42.1 ms
Sat 13 Jul 2024 02:31:25 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=62 ttl=255 time=6.89 ms
Sat 13 Jul 2024 02:31:26 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=63 ttl=255 time=12.8 ms
Sat 13 Jul 2024 02:31:27 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=64 ttl=255 time=16.8 ms
Sat 13 Jul 2024 02:31:28 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=65 ttl=255 time=7.41 ms
Sat 13 Jul 2024 02:31:29 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=66 ttl=255 time=18.1 ms
Sat 13 Jul 2024 02:31:30 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=67 ttl=255 time=4.03 ms
Sat 13 Jul 2024 02:31:31 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=68 ttl=255 time=15.2 ms
Sat 13 Jul 2024 02:31:32 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=69 ttl=255 time=3.88 ms
Sat 13 Jul 2024 02:31:33 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=70 ttl=255 time=7.00 ms
Sat 13 Jul 2024 02:31:34 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=71 ttl=255 time=42.0 ms
Sat 13 Jul 2024 02:31:35 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=72 ttl=255 time=6.74 ms
Sat 13 Jul 2024 02:31:36 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=73 ttl=255 time=7.86 ms
Sat 13 Jul 2024 02:31:37 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=74 ttl=255 time=11.1 ms
Sat 13 Jul 2024 02:31:38 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=75 ttl=255 time=6.72 ms
Sat 13 Jul 2024 02:31:39 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=76 ttl=255 time=12.4 ms
Sat 13 Jul 2024 02:31:40 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=77 ttl=255 time=5.29 ms
Sat 13 Jul 2024 02:31:41 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=78 ttl=255 time=11.1 ms
Sat 13 Jul 2024 02:31:42 PM CST signal:-72 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=79 ttl=255 time=6.84 ms
Sat 13 Jul 2024 02:31:43 PM CST signal:-72 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=80 ttl=255 time=18.6 ms
Sat 13 Jul 2024 02:31:44 PM CST signal:-72 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=81 ttl=255 time=9.56 ms
Sat 13 Jul 2024 02:31:45 PM CST signal:-72 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=82 ttl=255 time=10.1 ms
Sat 13 Jul 2024 02:31:46 PM CST signal:-72 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=83 ttl=255 time=7.18 ms
Sat 13 Jul 2024 02:31:47 PM CST signal:-72 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=84 ttl=255 time=17.1 ms
Sat 13 Jul 2024 02:31:48 PM CST signal:-72 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=85 ttl=255 time=7.81 ms
Sat 13 Jul 2024 02:31:49 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=86 ttl=255 time=3.81 ms
Sat 13 Jul 2024 02:31:50 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=87 ttl=255 time=4.84 ms
Sat 13 Jul 2024 02:31:51 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=88 ttl=255 time=15.6 ms
Sat 13 Jul 2024 02:31:52 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=89 ttl=255 time=13.5 ms
Sat 13 Jul 2024 02:31:53 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=90 ttl=255 time=10.2 ms
Sat 13 Jul 2024 02:31:54 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=91 ttl=255 time=8.42 ms
Sat 13 Jul 2024 02:31:55 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=92 ttl=255 time=5.63 ms
Sat 13 Jul 2024 02:31:56 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=93 ttl=255 time=4.86 ms
Sat 13 Jul 2024 02:31:57 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=94 ttl=255 time=4.53 ms
Sat 13 Jul 2024 02:31:58 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=95 ttl=255 time=4.10 ms
Sat 13 Jul 2024 02:31:59 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=96 ttl=255 time=10.4 ms
Sat 13 Jul 2024 02:32:00 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=97 ttl=255 time=5.45 ms
Sat 13 Jul 2024 02:32:01 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=98 ttl=255 time=4.98 ms
Sat 13 Jul 2024 02:32:02 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=99 ttl=255 time=4.88 ms
Sat 13 Jul 2024 02:32:03 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=100 ttl=255 time=9.62 ms
Sat 13 Jul 2024 02:32:04 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=101 ttl=255 time=11.6 ms
Sat 13 Jul 2024 02:32:05 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=102 ttl=255 time=17.3 ms
Sat 13 Jul 2024 02:32:06 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=103 ttl=255 time=3.70 ms
Sat 13 Jul 2024 02:32:07 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=104 ttl=255 time=6.83 ms
Sat 13 Jul 2024 02:32:08 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=105 ttl=255 time=5.32 ms
Sat 13 Jul 2024 02:32:09 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=106 ttl=255 time=4.44 ms
Sat 13 Jul 2024 02:32:10 PM CST signal:-72 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=107 ttl=255 time=5.92 ms
Sat 13 Jul 2024 02:32:11 PM CST signal:-72 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=108 ttl=255 time=15.3 ms
Sat 13 Jul 2024 02:32:12 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=109 ttl=255 time=10.7 ms
Sat 13 Jul 2024 02:32:13 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=110 ttl=255 time=14.1 ms
Sat 13 Jul 2024 02:32:14 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=111 ttl=255 time=11.8 ms
Sat 13 Jul 2024 02:32:15 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=112 ttl=255 time=5.44 ms
Sat 13 Jul 2024 02:32:16 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=113 ttl=255 time=7.02 ms
